,,
.,.,.
1 Month 20Feb,99.84,1.56
2 Month 19Mar,99.72,1.56
3 Month 16Apr,99.60,1.58
6 Month 09Jul,99.21,1.63
1 Year 07Jan,98.39,1.65
.,.,.
2 Year,99.71,1.64
5 Year,99.58,1.60
10 Year,105.79,1.58
30 Year,124.10,1.69
.,.,.
Alberta 1.25/Jun20,99.80,1.76
Ontario Prov 4.2/Jun20,100.93,1.73
Manitoba 1.55/Sep21,99.62,1.78
Ontario Prov 1.35/Mar22,99.01,1.82
NewBrunswick 1.55/May22,99.33,1.85
Quebec 3.5/Dec22,104.65,1.83
Ontario Prov 2.85/Jun23,103.14,1.89
Newfoundland 2.3/Jun25,100.96,2.11
Ontario Prov 2.6/Jun25,103.00,2.01
BC Prov 2.3/Jun26,101.65,2.03
Alberta 2.55/Jun27,102.56,2.17
Nova Scotia 2.1/Jun27,99.85,2.12
Ontario Prov 2.6/Jun27,103.24,2.12
BC Prov 2.55/Jun27,103.32,2.07
NewBrunswick 2.35/Aug27,101.13,2.19
.,.,.
Cdn Natl Res 2.05/Jun20,99.97,2.11
RioCan REIT 2.185/Aug20,100.02,2.16
Enbridge Inc 3.16/Mar21,101.04,2.24
Bell CDA 2.0/Oct21,99.85,2.09
Brookfld Prpty Corp 4.115/Oct21,102.89,2.43
Telus Corp 2.35/Mar22,100.47,2.13
CIBC 2.3/Jul22,100.54,2.08
Bell CDA 3.0/Oct22,102.09,2.20
TD Bank 1.909/Jul23,99.33,2.11
Bell CDA 2.7/Feb24,101.18,2.40
Brookfld Prpty Corp 4.3/Mar24,104.36,3.17
BNS 2.29/Jun24,100.64,2.14
Bell CDA 2.75/Jan25,101.17,2.50
CIBC Cap Tr 10.25/Jun39,118.22,8.34
TD Cap Tr 10.0/Jun39,117.45,8.19
